name,lat,lon,census_population
Chitrapu,13.06897,74.78528,
Pakshikere,13.04588,74.82200,
Madhya Padavu,13.01102,74.81610,
Padu Panambur,13.05567,74.79619,1326
Sasihitlu,13.05151,74.78212,2228
Mulki,13.09041,74.78705,17274
Kinnigoli,13.06371,74.84797,
Haleyangadi,13.04456,74.79574,4563
Surinje,13.02266,74.83925,3098
Adimar,13.01938,74.84419,
Kayar Katte,13.00186,74.85595,
Krishnapura,13.00014,74.82067,
Mukka,13.02244,74.79000,
Pavanje,13.03502,74.79408,1737
Kilpady,13.08445,74.80675,3389
Shimanthuru,13.08977,74.81297,1607
